axis,20x10 Open field Inline Profile depth 5,axis,20x10 Open field Crossline Profile depth 5,axis,10x10 Open field Inline Profile depth 5,axis,10x10 Open field Crossline Profile depth 5,axis,20x10 Wedge field Inline Profile depth 5,axis,20x10 Wedge field CR Profile depth 5,axis,10x10 Open field PDD 
-125.0,6.6,-72.5,6.4,-72.5,5.6,-72.5,4.8,-125.0,6.5,-72.5,7.9,0.0,48.3
-123.8,6.7,-70.9,6.7,-71.7,5.8,-71.1,5.1,-123.6,6.6,-71.4,8.3,1.2,58.6
-122.0,7.1,-69.3,7.0,-70.5,6.1,-69.9,5.3,-122.4,6.9,-69.5,8.8,2.4,68.6
-120.1,7.4,-67.8,7.3,-69.2,6.3,-68.7,5.6,-121.1,7.3,-67.9,9.0,3.6,78.7
-119.2,7.7,-66.6,7.8,-68.1,6.5,-67.5,5.9,-119.9,7.3,-66.9,9.4,4.9,86.0
-117.9,8.0,-65.3,8.1,-66.9,6.9,-66.3,6.2,-118.7,7.5,-65.6,9.8,6.1,90.8
-116.8,8.5,-64.2,8.5,-65.6,7.2,-65.1,6.6,-117.5,7.8,-64.4,10.1,7.3,94.4
-115.6,8.8,-63.0,9.0,-64.4,7.6,-63.9,7.1,-116.3,8.1,-63.2,10.7,8.5,96.9
-114.4,9.2,-61.8,9.6,-63.1,8.1,-62.7,7.6,-115.1,8.4,-62.0,11.0,9.7,98.2
-113.2,9.9,-60.6,10.3,-61.9,8.6,-61.4,8.3,-113.9,8.8,-60.8,11.9,11.0,99.1
-112.0,10.6,-59.3,11.5,-60.7,9.3,-60.2,9.0,-112.7,9.1,-59.6,12.9,12.2,99.7
-110.7,11.8,-58.1,13.0,-59.5,10.3,-59.0,10.2,-111.5,10.0,-58.4,14.2,13.4,99.9
-109.5,13.8,-56.9,15.6,-58.3,12.0,-57.8,12.0,-110.3,11.1,-57.2,16.5,14.6,100.0
-108.3,17.0,-55.7,20.6,-57.1,14.8,-56.6,15.4,-109.0,13.1,-56.0,20.7,15.8,99.9
-107.1,22.8,-54.5,29.8,-55.9,19.3,-55.4,22.1,-107.8,16.2,-54.8,28.6,17.1,99.5
-105.9,31.5,-53.3,41.8,-54.7,26.8,-54.1,33.1,-106.6,21.2,-53.6,39.5,18.3,99.2
-104.6,42.3,-52.1,55.0,-53.5,36.6,-52.9,46.4,-105.4,27.9,-52.4,51.7,19.5,98.7
-103.4,54.8,-50.9,68.0,-52.2,49.1,-51.7,59.9,-104.2,36.5,-51.2,64.5,20.7,98.2
